n,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20,Exp21,Exp22,Exp23,Exp24,Exp25,Exp26,Exp27,Exp28,Exp29,Exp30,Minimo,Maximo,Iteraciones,Promedio
50000,0.00717900,0.00545500,0.00579000,0.00520400,0.00430700,0.00470500,0.00416600,0.00489300,0.00482100,0.00491200,0.00406900,0.00520700,0.00403300,0.00393200,0.00463700,0.00527500,0.00412000,0.00394000,0.00439800,0.00485900,0.00494400,0.00419700,0.00423400,0.00443200,0.00513400,0.00522400,0.00401800,0.00398300,0.00458500,0.00517600,0.00393200,0.00717900,2547501,0.00466850
100000,0.00807500,0.00807400,0.00786600,0.00898400,0.00792000,0.00811800,0.00816100,0.00816600,0.00900900,0.00840600,0.00803000,0.00907100,0.00829300,0.00825900,0.00941200,0.00911200,0.00817000,0.00869600,0.00790800,0.00822400,0.00785100,0.00786900,0.00800200,0.00787100,0.00803200,0.00786600,0.00791200,0.00788300,0.00917700,0.00841200,0.00785100,0.00941200,5097501,0.00827021
150000,0.01330200,0.01220000,0.01202300,0.01206200,0.01177500,0.01169500,0.01173800,0.01201900,0.01258800,0.01422100,0.01612900,0.01310600,0.01236100,0.01261400,0.01514900,0.01206500,0.01227700,0.01222200,0.01849100,0.01354700,0.01235700,0.01271100,0.01292000,0.01214000,0.01309900,0.01318500,0.01796800,0.01286500,0.01217900,0.01231500,0.01169500,0.01849100,7647501,0.01296918
200000,0.01632400,0.01674700,0.01622600,0.01616300,0.01782200,0.01649700,0.01806200,0.01811200,0.01664700,0.01658600,0.01618000,0.01607100,0.01727000,0.01810700,0.01678900,0.01629300,0.01622100,0.02074000,0.01948000,0.01655900,0.01869100,0.01649900,0.01629800,0.01628200,0.01596900,0.01788900,0.01651600,0.01842400,0.01584500,0.01809200,0.01584500,0.02074000,10197501,0.01702914
250000,0.02002600,0.02039800,0.01966800,0.01983200,0.01961200,0.02088700,0.02202200,0.02056200,0.02080400,0.01999600,0.02065100,0.02167500,0.02168000,0.02034700,0.02065900,0.02028600,0.02061600,0.02005400,0.02234700,0.02078300,0.02135900,0.02498700,0.02074700,0.02024800,0.02165300,0.02463800,0.02213500,0.02184500,0.02165600,0.02038100,0.01961200,0.02498700,12747501,0.02099839
300000,0.02479500,0.02409300,0.02427000,0.02724000,0.02467200,0.02540400,0.02504300,0.02676700,0.02529600,0.02446800,0.02528400,0.02485000,0.02501200,0.02516000,0.02490000,0.02417700,0.02569800,0.02563300,0.02780200,0.02355000,0.02354300,0.02425500,0.02549000,0.02501900,0.02567200,0.02512900,0.02696600,0.02456200,0.02606500,0.02465200,0.02354300,0.02780200,15297501,0.02514721
350000,0.02903600,0.02999000,0.03104300,0.02959100,0.03004900,0.03068100,0.02871500,0.03025100,0.02848500,0.02920900,0.02886600,0.03100200,0.02829200,0.02786900,0.03453600,0.03021200,0.02873500,0.02929100,0.02784500,0.02960400,0.02810600,0.02790900,0.02918800,0.02919500,0.02754800,0.02847100,0.03188100,0.02994600,0.03074800,0.02857000,0.02754800,0.03453600,17847501,0.02938500
400000,0.03366500,0.03631100,0.03606000,0.03270700,0.03328100,0.03279700,0.03375900,0.03426700,0.03227700,0.03209200,0.03300200,0.03626800,0.03776000,0.03249400,0.03211900,0.03374200,0.03289700,0.03458000,0.03282100,0.03448400,0.03211000,0.03460600,0.03150300,0.03491500,0.03255800,0.03257600,0.03340800,0.03348500,0.03293500,0.03288000,0.03150300,0.03776000,20397501,0.03353914
450000,0.03830600,0.04235900,0.03748700,0.03645300,0.03816500,0.03835800,0.03940200,0.03949200,0.03677300,0.03945700,0.03663700,0.04598000,0.03734100,0.03655700,0.03954700,0.04099300,0.03786100,0.03774300,0.03599600,0.03798100,0.03633100,0.03568000,0.03888700,0.03774200,0.03700800,0.03749100,0.08669800,0.03777000,0.03722200,0.03602100,0.03568000,0.08669800,22947501,0.03826286
500000,0.04019300,0.04128100,0.04094900,0.04006100,0.04201700,0.04071600,0.04245200,0.04027900,0.04056100,0.04299800,0.04117900,0.04183200,0.04052100,0.03988100,0.04349200,0.04060400,0.04057500,0.04055000,0.04369400,0.04066500,0.04222200,0.04651200,0.04116300,0.04157900,0.04229600,0.04260200,0.04071700,0.04059100,0.04226400,0.04168400,0.03988100,0.04651200,25497501,0.04141918
