m,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20,Exp21,Exp22,Exp23,Exp24,Exp25,Exp26,Exp27,Exp28,Exp29,Exp30,Minimo,Maximo,Iteraciones,Promedio
500,0.00575300,0.00511800,0.00336500,0.00354700,0.00505200,0.00430700,0.00363400,0.00375100,0.00396600,0.00331000,0.00317800,0.00335800,0.00349900,0.00366700,0.00316000,0.00349200,0.00380100,0.00363800,0.00339400,0.00324300,0.00380000,0.00382200,0.00327000,0.00328200,0.00327900,0.00319700,0.00316400,0.00345100,0.00316000,0.00318300,0.00316000,0.00575300,2039528,0.00360457
1000,0.00320900,0.00316100,0.00382700,0.00683000,0.00637300,0.00354300,0.00328600,0.00321800,0.00315900,0.00325900,0.00330500,0.00319000,0.00318500,0.00319500,0.00326600,0.00355500,0.00326100,0.00320500,0.00315400,0.00330000,0.00348300,0.00352200,0.00422200,0.00353000,0.00332000,0.00353800,0.00317000,0.00326400,0.00322200,0.00321900,0.00315400,0.00683000,2039008,0.00346382
1500,0.00340600,0.00319900,0.00323300,0.00317900,0.00471100,0.00401900,0.00373900,0.00321900,0.00320700,0.00408200,0.00319400,0.00324300,0.00316300,0.00315600,0.00396000,0.00323800,0.00320200,0.00316200,0.00395700,0.00424200,0.00318300,0.00320700,0.00315500,0.00495300,0.00521500,0.00366200,0.00315600,0.00525600,0.00317300,0.00327300,0.00315500,0.00525600,2038386,0.00358332
2000,0.00321500,0.00324300,0.00333400,0.00324700,0.00350100,0.00358200,0.00362500,0.00346400,0.00332000,0.00322600,0.00329700,0.00317800,0.00352600,0.00388300,0.00379700,0.00326000,0.00318500,0.00346000,0.00319500,0.00364700,0.00320200,0.00327300,0.00339900,0.00317300,0.00327100,0.00330300,0.00341600,0.00341100,0.00316100,0.00318300,0.00316100,0.00388300,2038099,0.00335475
2500,0.00403000,0.00406400,0.00334900,0.00320900,0.00316700,0.00317400,0.00324100,0.00468300,0.00359800,0.00316400,0.00519000,0.00335000,0.00353200,0.00321800,0.00319500,0.00376300,0.00321700,0.00354400,0.00321400,0.00319200,0.00325000,0.00347200,0.00326200,0.00322800,0.00328500,0.00338400,0.00330300,0.00337200,0.00324500,0.00356000,0.00316400,0.00519000,2037692,0.00343218
3000,0.00352500,0.00316800,0.00317300,0.00317300,0.00382300,0.00335100,0.00336300,0.00368100,0.00378000,0.00321000,0.00329800,0.00323900,0.00334900,0.00570200,0.00386200,0.00330700,0.00316300,0.00358800,0.00544600,0.00364000,0.00316000,0.00318400,0.00376400,0.00336200,0.00318300,0.00316300,0.00331700,0.00315000,0.00317100,0.00337300,0.00315000,0.00570200,2037247,0.00345771
3500,0.00361500,0.00323700,0.00317000,0.00315900,0.01287600,0.00329100,0.00399400,0.00344500,0.00376600,0.00322900,0.00324900,0.00317500,0.00377100,0.00467800,0.00327500,0.00325000,0.00316800,0.00317900,0.00318200,0.00316100,0.00356600,0.00318500,0.00317500,0.00371900,0.00554100,0.00377400,0.00316000,0.00317600,0.00315900,0.00317200,0.00315900,0.01287600,2036723,0.00348079
4000,0.00315500,0.00315400,0.00329600,0.00404200,0.00447900,0.00319700,0.00317600,0.00315700,0.00315700,0.00315800,0.00316000,0.00323100,0.00316200,0.00317200,0.00316300,0.00315800,0.00406200,0.00318800,0.00315100,0.00315400,0.00396000,0.00468100,0.00318100,0.00316700,0.00329500,0.00315300,0.00325900,0.00316500,0.00315700,0.00335600,0.00315100,0.00468100,2036016,0.00332550
4500,0.00316800,0.00323600,0.00318700,0.00350300,0.00373200,0.00316300,0.00331500,0.00426000,0.00805800,0.00318100,0.00316400,0.00356200,0.00370400,0.00406100,0.00324800,0.00323600,0.00381200,0.00389600,0.00315100,0.00325800,0.00360200,0.00314900,0.00427700,0.00327900,0.00316900,0.00319000,0.00316100,0.00468600,0.00387600,0.00318500,0.00314900,0.00805800,2034982,0.00350936
5000,0.00316100,0.00377300,0.00316400,0.00317500,0.00315400,0.00407400,0.00576000,0.00327300,0.00317600,0.00315600,0.00708200,0.00404900,0.00339000,0.00316800,0.00316800,0.00372800,0.00335600,0.00324800,0.00330000,0.00332000,0.00325700,0.00327000,0.00327200,0.00326400,0.00322900,0.00315400,0.00374400,0.00345100,0.00333600,0.00329100,0.00315400,0.00708200,2034864,0.00345382
5500,0.00319500,0.00388600,0.00317900,0.00326400,0.00365400,0.00339700,0.00358500,0.00338900,0.00316100,0.00403700,0.00317800,0.00324100,0.00314300,0.00348400,0.00361800,0.00321700,0.00323900,0.00321300,0.00334600,0.00330800,0.00322300,0.00330500,0.00320200,0.00327800,0.00335000,0.00361300,0.00316500,0.00320700,0.00339900,0.00318200,0.00314300,0.00403700,2034080,0.00333850
6000,0.00407900,0.00328600,0.00331200,0.00320400,0.00347900,0.00318800,0.00337700,0.00335000,0.00380400,0.00330300,0.00314900,0.00325800,0.00315800,0.00379800,0.00445700,0.00324400,0.00315400,0.00316600,0.00458800,0.00604400,0.00325000,0.00377300,0.00356200,0.00328800,0.00317300,0.00315400,0.00324900,0.00365800,0.00343900,0.00331000,0.00314900,0.00604400,2033948,0.00346646
6500,0.00318700,0.00316300,0.00385800,0.00316000,0.00325600,0.00328800,0.00326900,0.00323900,0.00388700,0.00320700,0.00325000,0.00315800,0.00315000,0.00319200,0.00531500,0.00322500,0.00319200,0.00331600,0.00321200,0.00318700,0.00316900,0.00428800,0.00389200,0.00321100,0.00323000,0.00365400,0.00467300,0.00319300,0.00318100,0.00573200,0.00315000,0.00573200,2033456,0.00346614
7000,0.00390800,0.00320700,0.00317100,0.00315300,0.00361300,0.00420500,0.00398400,0.00333300,0.00323300,0.00315200,0.00392800,0.00314900,0.00315500,0.00664000,0.00399700,0.00320900,0.00321500,0.00316300,0.00318200,0.00440300,0.00316200,0.00315700,0.00316900,0.00316300,0.00318100,0.00401200,0.00348700,0.00323400,0.00323100,0.00323500,0.00314900,0.00664000,2032524,0.00343721
7500,0.00321700,0.00320500,0.00319600,0.00653700,0.00353000,0.00329400,0.00329100,0.00570100,0.00320300,0.00315500,0.00316500,0.00323200,0.00437600,0.00334700,0.00318800,0.00316200,0.00317500,0.00354700,0.00317800,0.00336700,0.00318000,0.00315000,0.00318700,0.00411100,0.00348500,0.00333300,0.00314400,0.00321100,0.00378800,0.00315700,0.00314400,0.00653700,2032041,0.00343325
8000,0.00316800,0.00318800,0.00317400,0.00339800,0.00478300,0.00661600,0.00334600,0.00317000,0.00375200,0.00317600,0.00330200,0.00320200,0.00316100,0.00316300,0.00316300,0.00314800,0.00315000,0.00316000,0.00321900,0.00674500,0.00325700,0.00318200,0.00315900,0.00314900,0.00322300,0.00315100,0.00420500,0.00380200,0.00314700,0.00317600,0.00314700,0.00674500,2031865,0.00345511
8500,0.00314900,0.00395800,0.00314700,0.00319800,0.00317800,0.00318200,0.01035100,0.00365500,0.00320000,0.00421900,0.00325300,0.00321600,0.00330500,0.00322400,0.00317900,0.00318100,0.00317200,0.00315500,0.00407900,0.00314600,0.00316400,0.00319300,0.00427500,0.00334000,0.00321100,0.00319100,0.00320300,0.00388200,0.00531000,0.00316100,0.00314600,0.01035100,2031007,0.00344929
9000,0.00317300,0.00330500,0.00365700,0.00322200,0.00335900,0.00371000,0.00385600,0.00326100,0.00318600,0.00324200,0.00320500,0.00316700,0.00315800,0.00358100,0.00316900,0.00385200,0.00316900,0.00426200,0.00330900,0.00407100,0.00314100,0.00337600,0.00316800,0.00318600,0.00315000,0.00316800,0.00412800,0.00325200,0.00326400,0.00314200,0.00314100,0.00426200,2030373,0.00337450
9500,0.00382100,0.00416100,0.00316700,0.00322500,0.00317700,0.00379000,0.00437300,0.00355400,0.00388300,0.00515100,0.00403300,0.00355900,0.00356300,0.00402000,0.00350600,0.00423600,0.00329100,0.00319500,0.00382600,0.00344900,0.00367400,0.00315100,0.00319900,0.00413900,0.00356900,0.00322700,0.00321900,0.00316900,0.00414800,0.00342300,0.00315100,0.00515100,2030495,0.00362843
10000,0.00326700,0.00331200,0.00328300,0.00329000,0.00346500,0.00423600,0.00391700,0.00332100,0.00335500,0.00319800,0.00340400,0.00394800,0.00322300,0.00316300,0.00317400,0.00454600,0.00345500,0.00359800,0.00324300,0.00325500,0.00315700,0.00367200,0.00402800,0.00314300,0.00319500,0.00316800,0.00326600,0.00335400,0.00315100,0.00324500,0.00314300,0.00454600,2029464,0.00340511
10500,0.00323300,0.00341300,0.00320200,0.00483700,0.00328500,0.00366200,0.00330700,0.00366700,0.00427500,0.00330000,0.00321700,0.00354700,0.00331100,0.00319000,0.00317700,0.00315100,0.00434400,0.00316200,0.00325800,0.00335000,0.00315200,0.00425000,0.00314300,0.00317300,0.00315400,0.00438600,0.00356400,0.00332100,0.00315100,0.00314100,0.00314100,0.00483700,2029307,0.00344089
11000,0.00337900,0.00368800,0.00315400,0.00322900,0.00319200,0.00322100,0.00402200,0.00382400,0.00348300,0.00325500,0.00334400,0.00345300,0.00327200,0.00319200,0.00336500,0.00355600,0.00322900,0.00347200,0.00351700,0.00343800,0.00324000,0.00373300,0.00315800,0.00364300,0.00315300,0.00327200,0.00324500,0.00324800,0.00351900,0.00317400,0.00315300,0.00402200,2028579,0.00337482
11500,0.00321400,0.00384300,0.00331300,0.00357000,0.00331200,0.00404600,0.00316200,0.00344400,0.00360300,0.00417000,0.00347000,0.00317200,0.00315200,0.00315400,0.00368700,0.00541200,0.00572500,0.00461100,0.00370900,0.00316100,0.00329200,0.00315100,0.00345800,0.00386400,0.00315500,0.00320200,0.00323400,0.00331500,0.00362500,0.00349300,0.00315100,0.00572500,2028244,0.00356582
12000,0.00353300,0.00377100,0.00421100,0.00326000,0.00340600,0.00380600,0.00383600,0.00376800,0.00317500,0.00322300,0.00385300,0.00326000,0.00344500,0.00314800,0.00319400,0.00346800,0.00318200,0.00383400,0.00320400,0.00322100,0.00324500,0.00322700,0.00342400,0.00315000,0.00323800,0.00326500,0.00315100,0.00349500,0.00321000,0.00327000,0.00314800,0.00421100,2027516,0.00339693
12500,0.00521400,0.00425600,0.00315700,0.00322300,0.00319500,0.00314200,0.00411100,0.00423300,0.00321800,0.00330000,0.00321100,0.00315300,0.00314600,0.00317700,0.00328400,0.00346900,0.00314500,0.00314500,0.00318200,0.00314200,0.00316900,0.00347400,0.00314500,0.00314900,0.00323600,0.00314900,0.00330800,0.00425100,0.00314600,0.00314800,0.00314200,0.00521400,2027267,0.00335436
13000,0.00317500,0.00314700,0.00317200,0.00315300,0.00314700,0.00315700,0.00324400,0.00796300,0.00388700,0.00313800,0.00317600,0.00485200,0.00314100,0.00314400,0.00314400,0.00317000,0.00314900,0.00318100,0.00314400,0.00318000,0.00318600,0.00314500,0.00314000,0.00314100,0.00314500,0.00483800,0.00549400,0.00371600,0.00330700,0.00377800,0.00313800,0.00796300,2026275,0.00343761
