n,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20,Exp21,Exp22,Exp23,Exp24,Exp25,Exp26,Exp27,Exp28,Exp29,Exp30,Minimo,Maximo,Iteraciones,Promedio
50000,0.00033200,0.00033100,0.00033600,0.00036300,0.00032800,0.00036100,0.00032900,0.00032900,0.00034300,0.00032900,0.00032700,0.00032700,0.00032100,0.00031500,0.00031600,0.00031300,0.00028800,0.00031300,0.00027300,0.00026000,0.00026000,0.00025000,0.00024800,0.00023200,0.00022900,0.00022100,0.00021200,0.00021900,0.00020400,0.00020000,0.00020000,0.00036300,101939,0.00029093
100000,0.00039700,0.00036800,0.00037200,0.00038200,0.00032100,0.00032100,0.00031500,0.00031500,0.00031300,0.00031400,0.00031400,0.00031900,0.00031500,0.00031500,0.00031400,0.00040100,0.00049600,0.00041300,0.00037600,0.00052100,0.00046800,0.00044100,0.00044900,0.00045800,0.00050000,0.00039400,0.00048400,0.00047800,0.00042200,0.00039000,0.00031300,0.00052100,203946,0.00038757
150000,0.00069600,0.00061700,0.00068300,0.00066200,0.00071900,0.00065900,0.00072600,0.00070700,0.00057300,0.00053500,0.00049900,0.00047400,0.00047900,0.00047100,0.00047600,0.00060900,0.00051800,0.00056000,0.00059400,0.00061300,0.00062500,0.00052000,0.00068000,0.00058400,0.00054500,0.00055900,0.00060500,0.00061900,0.00061100,0.00064300,0.00047100,0.00072600,305974,0.00059514
200000,0.00088900,0.00063600,0.00063700,0.00081000,0.00081200,0.00063000,0.00063300,0.00063500,0.00062900,0.00063400,0.00079500,0.00063400,0.00065300,0.00077000,0.00074500,0.00066200,0.00075400,0.00084500,0.00075300,0.00067700,0.00076700,0.00078800,0.00065300,0.00063000,0.00063400,0.00063300,0.00063000,0.00064700,0.00063300,0.00063100,0.00062900,0.00088900,407918,0.00069146
250000,0.00081000,0.00078700,0.00107400,0.00098600,0.00082000,0.00106900,0.00089700,0.00085300,0.00083700,0.00082300,0.00082400,0.00083900,0.00081900,0.00083300,0.00082600,0.00096200,0.00084700,0.00100600,0.00115900,0.00087500,0.00116400,0.00112400,0.00084200,0.00088500,0.00090300,0.00079100,0.00079100,0.00078900,0.00078500,0.00079700,0.00078500,0.00116400,509842,0.00088814
300000,0.00095500,0.00095400,0.00096200,0.00096200,0.00094500,0.00095100,0.00094400,0.00095600,0.00107500,0.00094900,0.00094500,0.00099600,0.00097100,0.00101300,0.00104200,0.00096900,0.00095700,0.00095900,0.00095000,0.00094900,0.00101200,0.00095000,0.00094600,0.00095400,0.00094700,0.00095500,0.00094600,0.00095300,0.00109100,0.00108400,0.00094400,0.00109100,611885,0.00097168
350000,0.00121900,0.00115700,0.00110300,0.00111300,0.00124500,0.00136600,0.00148200,0.00135500,0.00140400,0.00117100,0.00111100,0.00133500,0.00118700,0.00171400,0.00243500,0.00233100,0.00223300,0.00192300,0.00160400,0.00137400,0.00120800,0.00125800,0.00122700,0.00113000,0.00110500,0.00114700,0.00122300,0.00140700,0.00155500,0.00155100,0.00110300,0.00243500,713940,0.00139768
400000,0.00145400,0.00129100,0.00135000,0.00128700,0.00203200,0.00126500,0.00126900,0.00189800,0.00128000,0.00125500,0.00134300,0.00132000,0.00133700,0.00133700,0.00135600,0.00131300,0.00132000,0.00126500,0.00126300,0.00126800,0.00125700,0.00220300,0.00153700,0.00149100,0.00127600,0.00167800,0.00126800,0.00233500,0.00131900,0.00134200,0.00125500,0.00233500,815989,0.00141496
450000,0.00144300,0.00142400,0.00143300,0.00145900,0.00142300,0.00143300,0.00141400,0.00210300,0.00161900,0.00152400,0.00178300,0.00193000,0.00142300,0.00142100,0.00142400,0.00142800,0.00142100,0.00191900,0.00216600,0.00187200,0.00157700,0.00142500,0.00143200,0.00146600,0.00142400,0.00142000,0.00142400,0.00174900,0.00144100,0.00152100,0.00141400,0.00216600,918009,0.00154861
500000,0.00168900,0.00157600,0.00157700,0.00169900,0.00159900,0.00158000,0.00160000,0.00174300,0.00166100,0.00174100,0.00159900,0.00158200,0.00158600,0.00164400,0.00171400,0.00273800,0.00297300,0.00237300,0.00158100,0.00158400,0.00256700,0.00157900,0.00158200,0.00168900,0.00195300,0.00165200,0.00162900,0.00176000,0.00169600,0.00164000,0.00157600,0.00297300,1020030,0.00175132
550000,0.00201400,0.00178400,0.00173900,0.00178500,0.00175300,0.00189800,0.00178600,0.00180000,0.00174000,0.00206700,0.00174100,0.00173700,0.00183200,0.00174700,0.00359500,0.00182100,0.00174200,0.00174400,0.00184200,0.00173700,0.00176500,0.00173600,0.00238800,0.00283800,0.00173800,0.00174100,0.00182800,0.00174600,0.00178300,0.00173300,0.00173300,0.00359500,1121980,0.00185257
600000,0.00196700,0.00236700,0.00342100,0.00358700,0.00309100,0.00304100,0.00216300,0.00217500,0.00204400,0.00190800,0.00190000,0.00201700,0.00194700,0.00202900,0.00190700,0.00194300,0.00206100,0.00307300,0.00189200,0.00190400,0.00205600,0.00282400,0.00191800,0.00199000,0.00190600,0.00190800,0.00198400,0.00190600,0.00221800,0.00229400,0.00189200,0.00358700,1224002,0.00221293
650000,0.00218800,0.00212200,0.00207600,0.00204900,0.00208700,0.00255800,0.00205900,0.00206000,0.00208200,0.00211600,0.00206300,0.00205800,0.00207100,0.00212200,0.00208800,0.00207000,0.00208600,0.00286300,0.00419000,0.00227500,0.00205400,0.00206000,0.00208000,0.00277200,0.00206100,0.00213000,0.00226300,0.00224200,0.00235400,0.00206600,0.00204900,0.00419000,1326008,0.00218307
700000,0.00389700,0.00228900,0.00236000,0.00223800,0.00222200,0.00221500,0.00233000,0.00239000,0.00221500,0.00222900,0.00225500,0.00220800,0.00222000,0.00234100,0.00225000,0.00235700,0.00232100,0.00222600,0.00226500,0.00226800,0.00252700,0.00258600,0.00263600,0.00259000,0.00235700,0.00221900,0.00221200,0.00232300,0.00237200,0.00232600,0.00220800,0.00389700,1428091,0.00232639
750000,0.00246800,0.00242500,0.00240600,0.00236900,0.00286400,0.00256000,0.00241500,0.00240300,0.00239900,0.00236800,0.00301400,0.00411100,0.00255400,0.00240700,0.00239000,0.00237600,0.00236600,0.00338200,0.00273700,0.00243900,0.00239500,0.00253900,0.00266900,0.00354400,0.00240100,0.00238400,0.00244100,0.00238000,0.00237000,0.00292400,0.00236600,0.00411100,1530119,0.00257225
800000,0.00313800,0.00253200,0.00262100,0.00257700,0.00253400,0.00259200,0.00262900,0.00299000,0.00256300,0.00260200,0.00253600,0.00361800,0.00287200,0.00254000,0.00275200,0.00254800,0.00253900,0.00289600,0.00261300,0.00267200,0.00257300,0.00258400,0.00277400,0.00254800,0.00300900,0.00278200,0.00255900,0.00254000,0.00359500,0.00259800,0.00253200,0.00361800,1632097,0.00270629
850000,0.00348300,0.00273500,0.00271300,0.00276700,0.00302400,0.00268300,0.00313700,0.00269300,0.00276300,0.00286500,0.00271200,0.00271300,0.00282600,0.00273900,0.00273700,0.00309600,0.00299700,0.00379000,0.00305500,0.00293400,0.00289700,0.00271000,0.00269100,0.00339500,0.00279600,0.00275200,0.00273200,0.00272400,0.00272400,0.00331800,0.00268300,0.00379000,1734009,0.00288314
900000,0.00439200,0.00296200,0.00290600,0.00295900,0.00295100,0.00288500,0.00357200,0.00294300,0.00301100,0.00302500,0.00291300,0.00288100,0.00340400,0.00353500,0.00357400,0.00302200,0.00292600,0.00288100,0.00328500,0.00324000,0.00304100,0.00321700,0.00296500,0.00291200,0.00305900,0.00290500,0.00287700,0.00293300,0.00284900,0.00284200,0.00284200,0.00439200,1835989,0.00305832
950000,0.00337200,0.00303200,0.00306000,0.00306000,0.00301500,0.00304800,0.00303000,0.00300200,0.00300100,0.00300900,0.00347900,0.00307300,0.00321200,0.00301700,0.00300600,0.00300700,0.00364700,0.00304900,0.00300300,0.00300800,0.00300400,0.00417800,0.00300600,0.00300700,0.00301300,0.00300800,0.00692900,0.00336300,0.00327100,0.00304000,0.00300100,0.00692900,1937925,0.00314354
1000000,0.00322000,0.00322400,0.00326700,0.00315700,0.00341800,0.00321100,0.00323800,0.00325000,0.00356900,0.00434800,0.00322800,0.00319700,0.00358800,0.00330200,0.00459600,0.00320800,0.00333900,0.00324300,0.00379900,0.00325300,0.00323900,0.00328600,0.00329700,0.00327300,0.00316300,0.00329700,0.00338600,0.00332400,0.00336300,0.00319700,0.00315700,0.00459600,2039922,0.00334739
