n,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20,Exp21,Exp22,Exp23,Exp24,Exp25,Exp26,Exp27,Exp28,Exp29,Exp30,Minimo,Maximo,Iteraciones,Promedio
50000,0.00033300,0.00033200,0.00038700,0.00033300,0.00033300,0.00036800,0.00033400,0.00033200,0.00033200,0.00033300,0.00035100,0.00039800,0.00033300,0.00040000,0.00033000,0.00033300,0.00034500,0.00033200,0.00033200,0.00033200,0.00034800,0.00033200,0.00034400,0.00033400,0.00033600,0.00037400,0.00041200,0.00034700,0.00034800,0.00045000,0.00033000,0.00045000,49951,0.00034814
100000,0.00099600,0.00108800,0.00096100,0.00120100,0.00103100,0.00110900,0.00101200,0.00103900,0.00101900,0.00108200,0.00082600,0.00051800,0.00048400,0.00046600,0.00043900,0.00041700,0.00052700,0.00043500,0.00045700,0.00070000,0.00062000,0.00044800,0.00042800,0.00040300,0.00040200,0.00039800,0.00054900,0.00045200,0.00045300,0.00048900,0.00039800,0.00120100,99951,0.00067321
150000,0.00079800,0.00081000,0.00074600,0.00068900,0.00063200,0.00079600,0.00054200,0.00053100,0.00048600,0.00048200,0.00052400,0.00047700,0.00047700,0.00048300,0.00066200,0.00065200,0.00061000,0.00064500,0.00052500,0.00092100,0.00051100,0.00058300,0.00051600,0.00047900,0.00047700,0.00047700,0.00048200,0.00047900,0.00048100,0.00060000,0.00047700,0.00092100,149951,0.00057768
200000,0.00066100,0.00073500,0.00083200,0.00084200,0.00082800,0.00086100,0.00107500,0.00065200,0.00069500,0.00093900,0.00098100,0.00077000,0.00076200,0.00068400,0.00090700,0.00091100,0.00076100,0.00067800,0.00064300,0.00064300,0.00063600,0.00064000,0.00065900,0.00063600,0.00064200,0.00063900,0.00063900,0.00063600,0.00064200,0.00064000,0.00063600,0.00107500,199951,0.00073421
250000,0.00087900,0.00126500,0.00131600,0.00140500,0.00124600,0.00095000,0.00096500,0.00088800,0.00083600,0.00080400,0.00080600,0.00079600,0.00080100,0.00079600,0.00080000,0.00079400,0.00080000,0.00080100,0.00092800,0.00080000,0.00079000,0.00098700,0.00087000,0.00092500,0.00109900,0.00080900,0.00083300,0.00085400,0.00079800,0.00093200,0.00079000,0.00140500,249951,0.00090636
300000,0.00097100,0.00098300,0.00095600,0.00095800,0.00095200,0.00096100,0.00108600,0.00121400,0.00110500,0.00102300,0.00104300,0.00095700,0.00096000,0.00103200,0.00103700,0.00100900,0.00099400,0.00096000,0.00095800,0.00095800,0.00095200,0.00099400,0.00095200,0.00095800,0.00094800,0.00133200,0.00112900,0.00096600,0.00095500,0.00099400,0.00094800,0.00133200,299951,0.00100061
350000,0.00118500,0.00114200,0.00112500,0.00111700,0.00111900,0.00111400,0.00112200,0.00111200,0.00111300,0.00117900,0.00118400,0.00118200,0.00116400,0.00111600,0.00112000,0.00111500,0.00112200,0.00114700,0.00111300,0.00111600,0.00118100,0.00111200,0.00112200,0.00141800,0.00149100,0.00117600,0.00114300,0.00127700,0.00111900,0.00111700,0.00111200,0.00149100,349951,0.00115214
400000,0.00131000,0.00127700,0.00128600,0.00129400,0.00126700,0.00134400,0.00129800,0.00131800,0.00136700,0.00128600,0.00127600,0.00132900,0.00150500,0.00157000,0.00145800,0.00128900,0.00130200,0.00138900,0.00128000,0.00130300,0.00136100,0.00130000,0.00127700,0.00159400,0.00134600,0.00127800,0.00127700,0.00126900,0.00129000,0.00132300,0.00126700,0.00159400,399951,0.00132864
450000,0.00144400,0.00146100,0.00171600,0.00144800,0.00175600,0.00143000,0.00156900,0.00146500,0.00143700,0.00150500,0.00173900,0.00146700,0.00164900,0.00159200,0.00179300,0.00144000,0.00143400,0.00147700,0.00143100,0.00168800,0.00151700,0.00147800,0.00143200,0.00147600,0.00153100,0.00144600,0.00155300,0.00143300,0.00146100,0.00144600,0.00143000,0.00179300,449951,0.00151754
500000,0.00169500,0.00162700,0.00159900,0.00158900,0.00169100,0.00163900,0.00160000,0.00159100,0.00160900,0.00168200,0.00160400,0.00159500,0.00159700,0.00160100,0.00165600,0.00168200,0.00159100,0.00159300,0.00160700,0.00159000,0.00159900,0.00159400,0.00161500,0.00164400,0.00190200,0.00164700,0.00159600,0.00161500,0.00164600,0.00159700,0.00158900,0.00190200,499951,0.00162150
550000,0.00181500,0.00175300,0.00176800,0.00215600,0.00186500,0.00175800,0.00177900,0.00188100,0.00176700,0.00175900,0.00175400,0.00174700,0.00175200,0.00189500,0.00185700,0.00175700,0.00175700,0.00175600,0.00175500,0.00177700,0.00175700,0.00177700,0.00194900,0.00175200,0.00176100,0.00175100,0.00176200,0.00177000,0.00175500,0.00176200,0.00174700,0.00215600,549951,0.00178575
