m,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20,Exp21,Exp22,Exp23,Exp24,Exp25,Exp26,Exp27,Exp28,Exp29,Exp30,Minimo,Maximo,Iteraciones,Promedio
500,0.00678000,0.00562200,0.00612300,0.00600300,0.00375100,0.00355200,0.00442300,0.00373600,0.00329100,0.00365300,0.00324200,0.00342000,0.00335700,0.00323800,0.00437100,0.00332400,0.00324500,0.00319000,0.00373800,0.00506400,0.00334300,0.00333400,0.00321200,0.00435800,0.00642400,0.00319800,0.00319900,0.00350200,0.00324400,0.00322500,0.00319000,0.00678000,999501,0.00393543
1000,0.00322000,0.00320800,0.00359600,0.00319700,0.00331300,0.00324000,0.00355700,0.00483100,0.00332900,0.00328900,0.00319200,0.00351900,0.00329000,0.00322800,0.00323900,0.00377600,0.00346600,0.00324000,0.00321900,0.00319700,0.00322500,0.00325400,0.00329100,0.00335700,0.00334600,0.00330200,0.00324200,0.00440100,0.00331100,0.00451900,0.00319200,0.00483100,999001,0.00340611
1500,0.00485200,0.00345600,0.00323900,0.00329500,0.00339700,0.00336000,0.00348100,0.00380700,0.00383700,0.00322800,0.00336400,0.00320700,0.00362300,0.00378800,0.00322700,0.00334400,0.00321300,0.00335500,0.00345800,0.00322900,0.00361500,0.00356600,0.00338100,0.00319500,0.00342700,0.00338300,0.00319900,0.00322500,0.00325500,0.00367900,0.00319500,0.00485200,998501,0.00341564
2000,0.00392100,0.00329500,0.00323100,0.00376200,0.00676100,0.00349200,0.00390900,0.00330700,0.00351100,0.00327700,0.00331000,0.00321000,0.00330600,0.00370200,0.00328400,0.00342500,0.00370300,0.00334000,0.00328900,0.00320900,0.00321200,0.00352100,0.00353500,0.00377600,0.00322700,0.00322300,0.00436800,0.00325500,0.00354900,0.00326000,0.00320900,0.00676100,998001,0.00347143
2500,0.00337400,0.00360500,0.00366400,0.00331500,0.00324600,0.00332500,0.00376900,0.00396200,0.00327200,0.00322300,0.00319600,0.00319300,0.00409500,0.00324100,0.00323900,0.00320100,0.00323500,0.00374200,0.00341300,0.00326900,0.00321100,0.00329000,0.00404400,0.00322300,0.00329900,0.00321500,0.00337200,0.00497500,0.00390900,0.00326000,0.00319300,0.00497500,997501,0.00343604
3000,0.00335300,0.00332900,0.00397600,0.00331400,0.00325700,0.00545300,0.00367400,0.00348400,0.00329900,0.00421800,0.00329500,0.00320200,0.00326600,0.00373200,0.00325300,0.00360300,0.00329800,0.00322500,0.00372900,0.00322600,0.00341700,0.00322800,0.00361400,0.00321400,0.00319800,0.00393600,0.00320800,0.00378100,0.00319800,0.00373500,0.00319800,0.00545300,997001,0.00346657
3500,0.00349800,0.00353800,0.00319900,0.00327800,0.00423400,0.00324400,0.00355300,0.00342000,0.00375300,0.00379700,0.00324300,0.00334600,0.00319300,0.00330800,0.00363100,0.00319600,0.00325800,0.00325800,0.00320400,0.00380600,0.00331900,0.00325900,0.00377100,0.00322100,0.00553600,0.00472800,0.00322900,0.00344200,0.00320400,0.00323200,0.00319300,0.00553600,996501,0.00347032
4000,0.00416200,0.00320800,0.00326600,0.00320100,0.00326900,0.00323700,0.00457000,0.00436200,0.00323300,0.00320300,0.00320500,0.00367900,0.00338700,0.00321000,0.00321900,0.00321800,0.00332500,0.00322000,0.00320400,0.00320700,0.00319600,0.00327600,0.00321500,0.00324200,0.00321000,0.00320200,0.00328500,0.00322300,0.00319400,0.00321300,0.00319400,0.00457000,996001,0.00332418
4500,0.00322700,0.00384200,0.00328900,0.00321000,0.00319800,0.00323700,0.00321200,0.00323500,0.00453600,0.00365400,0.00401900,0.00323800,0.00336200,0.00319900,0.00368800,0.00396100,0.00328600,0.00325500,0.00341900,0.00434900,0.00440300,0.00330400,0.00322900,0.00323200,0.00319300,0.00330600,0.00335900,0.00321000,0.00323200,0.00320500,0.00319300,0.00453600,995501,0.00344143
5000,0.00329800,0.00325100,0.00402100,0.00363300,0.00320300,0.00320400,0.00333100,0.01345300,0.00369000,0.01267200,0.01359900,0.00417800,0.01201000,0.00427900,0.00404600,0.00377800,0.00358600,0.00360500,0.00336800,0.00344800,0.00365900,0.00330200,0.00330500,0.00354300,0.00343200,0.00407000,0.00426200,0.00361900,0.00365700,0.00361000,0.00320300,0.01359900,995001,0.00461821
5500,0.00332000,0.00320800,0.00360800,0.00328800,0.00346900,0.00330900,0.00327700,0.00349000,0.00326600,0.00348800,0.00330800,0.00323100,0.00370700,0.00322500,0.00327700,0.00324700,0.00325700,0.00362600,0.00376000,0.00325900,0.00320500,0.00380100,0.00324200,0.00407900,0.00335400,0.00328900,0.00341400,0.00342300,0.00320600,0.00334300,0.00320500,0.00407900,994501,0.00338186
6000,0.00330500,0.00325400,0.00332300,0.00325100,0.00328400,0.00338800,0.00326200,0.00435800,0.00380100,0.00338700,0.00337200,0.00358900,0.00327700,0.00325100,0.00340000,0.00322600,0.00356900,0.00330600,0.00323400,0.00367200,0.00347000,0.00377500,0.00329700,0.00340500,0.00320100,0.00319900,0.00403600,0.00320800,0.00324300,0.00320800,0.00319900,0.00435800,994001,0.00339264
6500,0.00331700,0.00400000,0.00320800,0.00321700,0.00323000,0.00331700,0.00324900,0.00463900,0.00353600,0.00403600,0.00376600,0.00322600,0.00363200,0.00320300,0.00379400,0.00324300,0.00320700,0.00324000,0.00389400,0.00325400,0.00332200,0.00340400,0.00331700,0.00321600,0.00337900,0.00355100,0.00331800,0.00376700,0.00454500,0.00422500,0.00320300,0.00463900,993501,0.00351464
7000,0.00323600,0.00354000,0.00329000,0.00323600,0.00336700,0.00334000,0.00415400,0.00347900,0.00344000,0.00339500,0.00322900,0.00320500,0.00320700,0.00386400,0.00387800,0.00323000,0.00325000,0.00386600,0.00400000,0.00338400,0.00320900,0.00321500,0.00323400,0.00333300,0.00355900,0.00321400,0.00320600,0.00523400,0.00351800,0.00321800,0.00320500,0.00523400,993001,0.00343182
7500,0.00331400,0.00329400,0.00346500,0.00396400,0.00520400,0.00357800,0.00494900,0.00329300,0.00331400,0.00337700,0.00320400,0.00348300,0.00343500,0.00336600,0.00373300,0.00323800,0.00330900,0.00322100,0.00416200,0.00388500,0.00322100,0.00434300,0.00331400,0.00333700,0.00334100,0.00334800,0.00367400,0.00323200,0.00323100,0.00320300,0.00320300,0.00520400,992501,0.00352232
8000,0.00356900,0.00325000,0.00320300,0.00367100,0.00321500,0.00437900,0.00361500,0.00351300,0.00325600,0.00322300,0.00371600,0.00325700,0.00322400,0.00321400,0.00444400,0.00337500,0.00321200,0.00320900,0.00320500,0.00329300,0.00346300,0.00322900,0.00336600,0.00323200,0.00345100,0.00330800,0.00321000,0.00321100,0.00323200,0.00325700,0.00320300,0.00444400,992001,0.00336982
