n,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20,Exp21,Exp22,Exp23,Exp24,Exp25,Exp26,Exp27,Exp28,Exp29,Exp30,Minimo,Maximo,Iteraciones,Promedio
50000,0.00047800,0.00042500,0.00049600,0.00045800,0.00064400,0.00056300,0.00069700,0.00056000,0.00055100,0.00063000,0.00061100,0.00064700,0.00059000,0.00050700,0.00041000,0.00046900,0.00066900,0.00103000,0.00081300,0.00053900,0.00041200,0.00031500,0.00056700,0.00064300,0.00036200,0.00029700,0.00034500,0.00033300,0.00031100,0.00032900,0.00029700,0.00103000,49951,0.00051336
100000,0.00065200,0.00044600,0.00059900,0.00056800,0.00049600,0.00037600,0.00037400,0.00037400,0.00043000,0.00038200,0.00046400,0.00059200,0.00062400,0.00065000,0.00047600,0.00045400,0.00055000,0.00059200,0.00070000,0.00043000,0.00037200,0.00037200,0.00037100,0.00037200,0.00044700,0.00052700,0.00039400,0.00043000,0.00047100,0.00037200,0.00037100,0.00070000,99951,0.00047450
150000,0.00066900,0.00061700,0.00056200,0.00073500,0.00086900,0.00058600,0.00056100,0.00058400,0.00056200,0.00056200,0.00057900,0.00064100,0.00102100,0.00089000,0.00108200,0.00074300,0.00056400,0.00056400,0.00058100,0.00073600,0.00061400,0.00062700,0.00065000,0.00068700,0.00068400,0.00056000,0.00056100,0.00056800,0.00071800,0.00057700,0.00056000,0.00108200,149951,0.00065400
200000,0.00092000,0.00085100,0.00080500,0.00090200,0.00098500,0.00123700,0.00101300,0.00088700,0.00082300,0.00088800,0.00090900,0.00096600,0.00091000,0.00075100,0.00077300,0.00075800,0.00090900,0.00074900,0.00075500,0.00081200,0.00074800,0.00081700,0.00089100,0.00113500,0.00137600,0.00135500,0.00117200,0.00089000,0.00096400,0.00120100,0.00074800,0.00137600,199951,0.00092957
250000,0.00113900,0.00108900,0.00122500,0.00108100,0.00101500,0.00095200,0.00104800,0.00117600,0.00136800,0.00120000,0.00093900,0.00112700,0.00093800,0.00122000,0.00117600,0.00105900,0.00099400,0.00114400,0.00126700,0.00117600,0.00112100,0.00101500,0.00096700,0.00103200,0.00099600,0.00096600,0.00093700,0.00102600,0.00108300,0.00101300,0.00093700,0.00136800,249951,0.00107800
300000,0.00142100,0.00146300,0.00173300,0.00135100,0.00136500,0.00112700,0.00120000,0.00167200,0.00137600,0.00156900,0.00151500,0.00137500,0.00147400,0.00168100,0.00127300,0.00132800,0.00131100,0.00122800,0.00134200,0.00122000,0.00126400,0.00127400,0.00111600,0.00137600,0.00158300,0.00191200,0.00157800,0.00118600,0.00131000,0.00115500,0.00111600,0.00191200,299951,0.00138393
350000,0.00177800,0.00171600,0.00158100,0.00145900,0.00141700,0.00158000,0.00161300,0.00157500,0.00160600,0.00147200,0.00145800,0.00169700,0.00148000,0.00160900,0.00146100,0.00159800,0.00131100,0.00160100,0.00157400,0.00142100,0.00143600,0.00162000,0.00139500,0.00153700,0.00157000,0.00157300,0.00160000,0.00157000,0.00158400,0.00153800,0.00131100,0.00177800,349951,0.00154789
400000,0.00185200,0.00190700,0.00351000,0.00179300,0.00180300,0.00173900,0.00171100,0.00152700,0.00168700,0.00221100,0.00171000,0.00192100,0.00243200,0.00188100,0.00155900,0.00164800,0.00184700,0.00183300,0.00163600,0.00165500,0.00156700,0.00178600,0.00173000,0.00179800,0.00258200,0.00182600,0.00186100,0.00195000,0.00218900,0.00153300,0.00152700,0.00351000,399951,0.00184454
450000,0.00205700,0.00202900,0.00205700,0.00200200,0.00203900,0.00203300,0.00249700,0.00199700,0.00172200,0.00197100,0.00224700,0.00212100,0.00195900,0.00266000,0.00261900,0.00232500,0.00217000,0.00237100,0.00228700,0.00202000,0.00259500,0.00234700,0.00208300,0.00211600,0.00195100,0.00209300,0.00218900,0.00267100,0.00204300,0.00252900,0.00172200,0.00267100,449951,0.00219311
500000,0.00229400,0.00209500,0.00245900,0.00245100,0.00232300,0.00205500,0.00346200,0.00256100,0.00230800,0.00227600,0.00219400,0.00204900,0.00211900,0.00197200,0.00297000,0.00287500,0.00231200,0.00217000,0.00215600,0.00224500,0.00208900,0.00241200,0.00257500,0.00198700,0.00193100,0.00228800,0.00208900,0.00214400,0.00216400,0.00239000,0.00193100,0.00346200,499951,0.00228650
